"Time,Entry Location,Entry,Enabled,Category,Profile,Description,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP"
"17/7/2024 7:24 am,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""Steam"",enabled,""Logon"",LIGREG\glenn,""Steam"",""Valve Corporation"",""c:\program files (x86)\steam\steam.exe"",9.4.36.28,""""""C:\Program Files (x86)\Steam\steam.exe"""" -silent"",EA6AE07191D791DA1243A8C84E45B484,B09C09F5EF38E2C95B91EDF42ECE680BD6246798,7CA572E8DE967A63C421038B6EBB11C02B1691FC,BAC67F1CE69685965CA8EC11595AFE4DC36FD2464F31AFD991FBC7BEFA202D2C,4CF97F554B7C2BB90AECBFFFBB2168804784B1A65EC357503A1BB7E450D31207,7B8569E34907FEA95DF53AF14A9071EE"
"5/6/2024 4:01 am,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""WallpaperEngine"",enabled,""Logon"",LIGREG\glenn,"""","""",""c:\program files (x86)\steam\steamapps\common\wallpaper_engine\wallpaper32.exe"",2.5.0.28,""""""C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\wallpaper32.exe"""" -silent"",6786FED26F9A0B2105C72CDD5A50FE06,321074A60A1361846FD39857F1E6B30399FB5175,B1A8074DF61D132FBD39EF7E757325E530AFE5F0,9DA6A1ED964688AF47EF6F5573CEFB947C58FCA283791EC7A47679331F301B77,BC468018CF75DDBEF4765045D0EE089A544CD034026DFFF0829B44F8D819C4E6,8669B37E0EFA5F068FF8E750424E4E05"
"16/7/2025 1:29 pm,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""Opera Stable"",enabled,""Logon"",LIGREG\glenn,""Opera Internet Browser"",""Opera Software"",""c:\users\glenn\appdata\local\programs\opera\opera.exe"",120.0.5543.93,""C:\Users\glenn\AppData\Local\Programs\Opera\opera.exe"",90DE381E26F40B46D410CA2967CF93B5,99DC6F1FD70C16E0CC11FE87BF81224AC90BC2C8,C645FAEE2046405E5436527ECAAA06D4B1D81346,07E6377763D0E96ED2F57E6D06233056F7146EFD6956C52E3ED0C3A6E2F0363C,73A4A89DE1D181F9FD55A60F5E6D1801CF6D310764908F2D76CA5BBCE27463D2,5F7E8B51B184000827FC00B0ABAEA8E6"
"11/4/2025 4:15 pm,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""Opera Browser Assistant"",enabled,""Logon"",LIGREG\glenn,""Opera Browser Assistant"",""Opera Software"",""c:\users\glenn\appdata\local\programs\opera\assistant\browser_assistant.exe"",118.0.5461.41,""C:\Users\glenn\AppData\Local\Programs\Opera\assistant\browser_assistant.exe"",E26638400D102B2F8FD151CBA3231188,2824A0D06206385B9862C7117CD2105360F1D663,ECB929AC0C6887D992AC7F2362F2EE83C570A202,E04EB48FE3275AE642A3B44A61F07A1FF53C106A7EA70DEC6B0E5A65680964A3,DBC6C85CB179EB419CC8C0ABEBFADED2DFC9A19FA250F8DA722FECD5EC2F5D26,AED468D28631CB17BAB0F02B1CD01867"
"27/7/2024 11:51 pm,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Startup,,,""Logon"",LIGREG\glenn,,,,,,,,,,,"
"8/8/2025 3:51 pm,""HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Startup"",""Send to OneNote.lnk"",enabled,""Logon"",LIGREG\glenn,""Send to OneNote Tool"",""Microsoft Corporation"",""c:\program files\microsoft office\root\office16\onenotem.exe"",16.0.19029.20184,""C:\Users\glenn\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\Send to OneNote.lnk"",8FE16695FE0AFA00AEE3431B6077A65D,48A450FD1A33F2116BA440EE9381021006421F48,3378CB8061F16FE816761AAFC9B5AE34593DA62F,66EBCA6B744FDBB10545EEBAFC20FD50E9E2657FA9B85B4917427E6BF3DE9E9D,947BC45F7FDD4B2170D23B3C4C979A36D1EE70A7D8020878167F2353677FB51A,5A032F4C7E36B472FBDF57420693A73D"
"17/4/2025 11:36 pm,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,""Logon"",LIGREG\glenn,,,,,,,,,,,"
"6/11/1982 11:41 pm,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""OneDrive"",enabled,""Logon"",LIGREG\glenn,""Microsoft OneDrive"",""Microsoft Corporation"",""c:\program files\microsoft onedrive\onedrive.exe"",25.140.720.1,""""""C:\Program Files\Microsoft OneDrive\OneDrive.exe"""" /background"",4F3C071BE5D5AC39C7EF33D6E602A04A,5E15D9846142E1C32E85CA1E75787F8750115D3E,F6FD3BC11F0DB4773A37510DDCD299FC12E5FAEA,7BACA85F3ED554A09B5384850DE2C0D14EF2604FA978148460BB0DB17438FA5E,38ED387B5896D68B72F3E9C90D9227DD104F91CF5C679F18114E9C956CAC65FA,DB0CAF9AF9028C56D6A1547A3B9FC816"
"21/9/2021 4:18 am,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""Discord"",enabled,""Logon"",LIGREG\glenn,""Update"",""GitHub"",""c:\users\glenn\appdata\local\discord\update.exe"",1.1.1.0,""""""C:\Users\glenn\AppData\Local\Discord\Update.exe"""" --processStart Discord.exe"",9C85D367DA76F9CBC0907E1CA41D0533,87E1536778553BF6DC5C1ACECCA8D3F96191EFCE,CE9C10B3BCC13CF815471306E07F11E39D838DFA,0D8E47413FD6C3B272ADBAB65072AEAAF5940BCCA4EECC4AF0CFB27604A0FFAE,57BC9BBDD69E414740A7826456A56EB0A5C78E28832F2EE027F48C3B3754202C,F34D5F2D4577ED6D9CEEC516C1F5A744"
"17/7/2024 7:24 am,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""Steam"",enabled,""Logon"",LIGREG\glenn,""Steam"",""Valve Corporation"",""c:\program files (x86)\steam\steam.exe"",9.4.36.28,""""""C:\Program Files (x86)\Steam\steam.exe"""" -silent"",EA6AE07191D791DA1243A8C84E45B484,B09C09F5EF38E2C95B91EDF42ECE680BD6246798,7CA572E8DE967A63C421038B6EBB11C02B1691FC,BAC67F1CE69685965CA8EC11595AFE4DC36FD2464F31AFD991FBC7BEFA202D2C,4CF97F554B7C2BB90AECBFFFBB2168804784B1A65EC357503A1BB7E450D31207,7B8569E34907FEA95DF53AF14A9071EE"
"5/6/2024 4:01 am,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""WallpaperEngine"",enabled,""Logon"",LIGREG\glenn,"""","""",""c:\program files (x86)\steam\steamapps\common\wallpaper_engine\wallpaper32.exe"",2.5.0.28,""""""C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\wallpaper32.exe"""" -silent"",6786FED26F9A0B2105C72CDD5A50FE06,321074A60A1361846FD39857F1E6B30399FB5175,B1A8074DF61D132FBD39EF7E757325E530AFE5F0,9DA6A1ED964688AF47EF6F5573CEFB947C58FCA283791EC7A47679331F301B77,BC468018CF75DDBEF4765045D0EE089A544CD034026DFFF0829B44F8D819C4E6,8669B37E0EFA5F068FF8E750424E4E05"
